sale_date,temperature,product_name,sales_volume,transaction_id
7/5/2024,62,Cherry Garcia,23,TX0001
8/15/2024,64,Chunky Monkey,26,TX0002
9/25/2024,66,Phish Food,29,TX0003
10/5/2024,68,Americone Dream,32,TX0004
11/15/2024,70,Chocolate Fudge Brownie,35,TX0005
12/25/2024,72,Half Baked,38,TX0006
1/5/2025,74,New York Super Fudge Chunk,41,TX0007
2/15/2025,76,Cherry Garcia,44,TX0008
3/25/2025,78,Chunky Monkey,47,TX0009
4/5/2025,80,Phish Food,50,TX0010
5/15/2025,82,Americone Dream,53,TX0011
6/25/2025,84,Chocolate Fudge Brownie,1000,TX0012
7/5/2024,86,Half Baked,59,TX0013
8/15/2024,88,New York Super Fudge Chunk,62,TX0014
9/25/2024,90,Cherry Garcia,65,TX0015
10/5/2024,61,Chunky Monkey,68,TX0016
11/15/2024,63,Phish Food,71,TX0017
12/25/2024,65,Americone Dream,74,TX0018
1/5/2025,67,Chocolate Fudge Brownie,77,TX0019
2/15/2025,105,Half Baked,80,TX0020
3/25/2025,71,New York Super Fudge Chunk,83,TX0021
4/5/2025,,Cherry Garcia,86,TX0022
5/15/2025,75,Chunky Monkey,89,TX0023
6/25/2025,77,Phish Food,92,TX0024
7/5/2024,79,Americone Dream,95,TX0025
8/15/2024,81,Chocolate Fudge Brownie,98,TX0026
9/25/2024,83,Half Baked,101,TX0027
10/5/2024,85,New York Super Fudge Chunk,104,TX0028
11/15/2024,87,Cherry Garcia,107,TX0029
12/25/2024,89,Chunky Monkey,110,TX0030
1/5/2025,60,Phish Food,113,TX0031
2/15/2025,62,Americone Dream,116,TX0032
3/25/2025,64,Chocolate Fudge Brownie,119,TX0033
4/5/2025,66,Half Baked,122,TX0034
5/15/2025,68,New York Super Fudge Chunk,125,TX0035
6/25/2025,70,Cherry Garcia,128,TX0036
7/5/2024,72,Chunky Monkey,1200,TX0037
8/15/2024,74,Phish Food,134,TX0038
9/25/2024,76,Americone Dream,137,TX0039
10/5/2024,78,Chocolate Fudge Brownie,140,TX0040
11/15/2024,80,Half Baked,143,TX0041
12/25/2024,82,New York Super Fudge Chunk,146,TX0042
1/5/2025,84,Cherry Garcia,149,TX0043
2/15/2025,86,Chunky Monkey,22,TX0044
3/25/2025,40,Phish Food,25,TX0045
4/5/2025,90,Americone Dream,28,TX0046
5/15/2025,61,Chocolate Fudge Brownie,31,TX0047
6/25/2025,63,Half Baked,34,TX0048
7/5/2024,65,New York Super Fudge Chunk,37,TX0049
8/15/2024,67,Cherry Garcia,40,TX0050
9/25/2024,69,Chunky Monkey,43,TX0051
10/5/2024,71,Phish Food,46,TX0052
11/15/2024,73,Americone Dream,49,TX0053
12/25/2024,75,Chocolate Fudge Brownie,52,TX0054
1/5/2025,,Half Baked,55,TX0055
2/15/2025,79,New York Super Fudge Chunk,58,TX0056
3/25/2025,81,Cherry Garcia,61,TX0057
4/5/2025,83,Chunky Monkey,64,TX0058
5/15/2025,85,Phish Food,67,TX0059
