user_id,interaction_date,interaction_time,search_results_displayed
user_1,7/5/2024,35.5,10
user_2,7/10/2024,22.3,5
user_1,7/5/2024,35.5,10
user_3,8/1/2024,48,15
user_4,8/15/2024,,20
user_5,9/5/2024,60.2,10
user_6,10/10/2024,12,5
user_7,11/20/2024,80,15
user_8,12/31/2024,55,20
user_9,1/15/2025,75.5,10
user_10,2/20/2025,30,5
user_2,7/10/2024,22.3,5
user_11,3/1/2025,92.5,10
user_12,3/5/2025,15,15
user_13,3/10/2025,45.3,20
user_14,3/15/2025,5,5
user_15,3/20/2025,68,10
user_16,3/25/2025,110,15
user_17,4/1/2025,29.9,20
user_18,4/5/2025,150,10
user_19,4/10/2025,33.3,5
user_20,4/15/2025,25,15
user_21,4/20/2025,40,20
user_22,4/25/2025,85.5,10
user_23,4/30/2025,,5
user_24,5/5/2025,55.5,15
user_25,5/10/2025,65,20
user_26,5/15/2025,70,10
user_27,5/20/2025,95,5
user_28,5/25/2025,50,15
user_29,6/1/2025,88,20
user_30,6/5/2025,42,10
user_31,6/10/2025,37,5
user_32,6/15/2025,82,15
user_33,6/20/2025,20,20
user_34,6/25/2025,90,10
user_35,6/29/2025,77,5
user_36,6/30/2025,66.6,15
user_37,7/15/2024,100,20
user_38,7/20/2024,110.5,10
user_39,8/5/2024,35,5
user_40,8/10/2024,59.9,15
user_41,8/15/2024,47.3,20
user_42,8/20/2024,,10
user_43,9/1/2024,68.5,5
user_44,9/5/2024,72.7,15
user_45,9/10/2024,55.5,20
user_46,9/15/2024,62,10
user_47,9/20/2024,40,5
user_48,9/25/2024,85,15
user_49,10/1/2024,95,20
user_50,10/5/2024,33.3,10
user_51,10/10/2024,44.4,5
user_52,10/15/2024,88.8,15
user_53,10/20/2024,76.5,20
user_54,10/25/2024,90,10
user_55,10/30/2024,,5
user_56,11/1/2024,101,15
